Designator,Mid X,Mid Y,Rotation,Layer
C1,117.33,-103.38,90.0,top
C2,124.95,-103.38,90.0,top
C3,168.13,-103.38,90.0,top
C4,160.51,-103.38,90.0,top
HOLE1,112.25,-62.46,0.0,top
HOLE2,173.25,-62.46,0.0,top
HOLE3,173.25,-110.96,0.0,top
HOLE4,112.25,-110.96,0.0,top
J1,125.25,-72.865,180.0,top
J2,117.33,-85.56,0.0,top
J3,124.95,-90.64,0.0,top
J4,160.51,-91.91,0.0,top
J5,160.51,-74.13,0.0,top
J8,117.33,-76.67,180.0,top
Q1,118.6,-69.685,0.0,top
R1,142.73,-72.86,180.0,top
R12,142.73,-88.1,180.0,top
R2,142.73,-70.32,180.0,top
R3,142.73,-75.4,180.0,top
R4,142.73,-77.94,180.0,top
R5,142.73,-80.48,180.0,top
R6,142.73,-83.02,0.0,top
R7,142.73,-85.56,0.0,top
R8,112.25,-72.86,270.0,top
U1,142.73,-67.78,0.0,top
