"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","470uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C2,C4","2","100nF","","","","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"J1","1","Conn_01x07","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"J2","1","Conn_01x03","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J3","1","Conn_01x05","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J4","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J5,J8","2","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J6,J7","2","Conn_01x02","DNP","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q1","1","BC337","","","","Package_TO_SOT_THT:TO-92L_HandSolder","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf"
"Q2","1","BC337","DNP","","","Package_TO_SOT_THT:TO-92L_HandSolder","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf"
"R1,R2,R3,R4,R5","5","47R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R6,R7","2","33R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R8","1","3K3","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R9","1","2k2","DNP","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R10","1","150","DNP","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R12","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U1","1","ESP32_DevKit_V1_DOIT","","","","ESP32_DevKit_V1_DOIT:esp32_devkit_v1_doit","https://aliexpress.com/item/32864722159.html"
