Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CP_Radial_D10.0mm_P5.00mm,2,470µF,
"C2, C4",C_Rect_L7.0mm_W3.5mm_P2.50mm_P5.00mm,2,100nF,
J1,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,1,Fencers,
J2 MATRIX +,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,WS2812B LED Matrix,
J8 BUZZER,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Buzzer,
J9 5V EXT.,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,5V ext. Power,
Q1,TO-92L_HandSolder,1,BC337,
Q3,TO-220-3_Vertical,1,FQP27P06,
"R1, R2, R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,47Ω,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
"R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,33Ω,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,3k3,
U1,esp32_devkit_v1_doit,1,ESP32_DevKit_V1_DOIT 30pin,
